Txn Ref Number,Account Number,Date Time,Description,Withdrawals,Credit
TXN30001,902519854,01-10-2025 21:34,Interest Credit,,201.90
TXN30002,902519854,02-10-2025 08:47,Fuel Expense,2318.26,
TXN30003,902519854,03-10-2025 09:33,Online Shopping - Amazon,3918.77,
TXN30004,902519854,04-10-2025 17:00,Grocery Store,2602.12,
TXN30005,902519854,05-10-2025 08:26,Subscription Renewal,435.61,
TXN30006,902519854,06-10-2025 16:17,Utility Bill - Internet,606.89,
TXN30007,902519854,07-10-2025 19:09,Refund - Product Return,,3278.99
TXN30008,902519854,08-10-2025 21:17,Fuel Expense,1928.22,
TXN30009,902519854,09-10-2025 11:57,Zomato Order,571.58,
TXN30010,902519854,10-10-2025 12:45,Grocery Store,3257.50,
TXN30011,902519854,11-10-2025 11:16,UPI Transfer,2058.31,
TXN30012,902519854,12-10-2025 11:55,Salary Deposit,,64724.22
TXN30013,902519854,13-10-2025 16:52,Fuel Expense,775.28,
TXN30014,902519854,14-10-2025 11:29,Swiggy Order,913.61,
TXN30015,902519854,15-10-2025 08:02,Cash Deposit,,29899.56
TXN30016,902519854,16-10-2025 09:33,Refund - Product Return,,4661.69
TXN30017,902519854,17-10-2025 12:48,ATM Withdrawal,9492.61,
TXN30018,902519854,18-10-2025 08:42,Cash Deposit,,6563.20
TXN30019,902519854,19-10-2025 10:49,Interest Credit,,158.57
TXN30020,902519854,20-10-2025 16:40,Utility Bill - Internet,1195.14,
TXN30021,902519854,21-10-2025 08:33,Online Shopping - Flipkart,3258.94,
TXN30022,902519854,22-10-2025 15:40,Fuel Expense,2139.55,
TXN30023,902519854,23-10-2025 12:16,Online Shopping - Amazon,3264.48,
TXN30024,902519854,24-10-2025 17:23,Subscription Renewal,828.21,
TXN30025,902519854,25-10-2025 18:52,Zomato Order,496.92,
TXN30026,902519854,26-10-2025 09:32,Investment SIP,3632.71,
TXN30027,902519854,27-10-2025 11:10,Utility Bill - Internet,1390.88,
TXN30028,902519854,28-10-2025 20:08,Salary Deposit,,55156.31
TXN30029,902519854,29-10-2025 13:28,Restaurant Bill,974.47,
TXN30030,902519854,30-10-2025 15:34,Interest Credit,,291.52
TXN30031,902519854,31-10-2025 21:45,Investment SIP,3447.75,
TXN30032,902519854,01-10-2025 11:23,Investment Dividend,,2389.47
TXN30033,902519854,02-10-2025 15:18,Swiggy Order,1705.84,
TXN30034,902519854,03-10-2025 10:06,Salary Deposit,,47902.95
TXN30035,902519854,04-10-2025 12:59,Freelance Work Payment,,8926.86
TXN30036,902519854,05-10-2025 10:49,Zomato Order,226.65,
TXN30037,902519854,06-10-2025 13:50,Swiggy Order,1765.67,
TXN30038,902519854,07-10-2025 20:14,Investment Dividend,,8859.52
TXN30039,902519854,08-10-2025 12:37,Investment SIP,4394.73,
TXN30040,902519854,09-10-2025 12:01,UPI Transfer,476.23,
TXN30041,902519854,10-10-2025 12:12,Investment SIP,6541.62,
TXN30042,902519854,11-10-2025 09:12,Swiggy Order,1697.03,
TXN30043,902519854,12-10-2025 19:49,Freelance Work Payment,,24436.37
TXN30044,902519854,13-10-2025 13:05,Restaurant Bill,2495.52,
TXN30045,902519854,14-10-2025 08:54,Cash Deposit,,10427.36
TXN30046,902519854,15-10-2025 21:51,Fuel Expense,1991.04,
TXN30047,902519854,16-10-2025 10:55,Investment SIP,4639.87,
TXN30048,902519854,17-10-2025 09:59,Utility Bill - Internet,759.51,
TXN30049,902519854,18-10-2025 12:11,Online Shopping - Amazon,2815.64,
TXN30050,902519854,19-10-2025 08:38,Investment SIP,2414.60,
TXN30051,902519854,20-10-2025 21:01,Fuel Expense,1113.56,
TXN30052,902519854,21-10-2025 21:13,Interest Credit,,59.79
TXN30053,902519854,22-10-2025 17:32,Online Shopping - Flipkart,746.13,
TXN30054,902519854,23-10-2025 16:30,Online Shopping - Flipkart,1320.01,
TXN30055,902519854,24-10-2025 08:26,Grocery Store,1128.54,
TXN30056,902519854,25-10-2025 15:07,Online Shopping - Flipkart,1978.58,
TXN30057,902519854,26-10-2025 13:49,Investment Dividend,,5817.78
TXN30058,902519854,27-10-2025 21:52,Interest Credit,,168.17
TXN30059,902519854,28-10-2025 09:03,Swiggy Order,1389.14,
TXN30060,902519854,29-10-2025 19:36,Zomato Order,419.74,
TXN30061,902519854,30-10-2025 10:48,Interest Credit,,198.78
TXN30062,902519854,31-10-2025 18:33,Freelance Work Payment,,21544.76
TXN30063,902519854,01-10-2025 17:47,Transfer to Savings,12965.03,
TXN30064,902519854,02-10-2025 21:13,Freelance Work Payment,,11213.56
TXN30065,902519854,03-10-2025 12:23,Restaurant Bill,960.74,
TXN30066,902519854,04-10-2025 16:09,Investment Dividend,,8171.60
TXN30067,902519854,05-10-2025 08:16,Salary Deposit,,70748.44
TXN30068,902519854,06-10-2025 09:04,Freelance Work Payment,,10115.83
TXN30069,902519854,07-10-2025 18:06,Cash Deposit,,8422.75
TXN30070,902519854,08-10-2025 15:57,Swiggy Order,1092.55,
TXN30071,158017194,09-10-2025 19:29,Investment SIP,1759.31,
TXN30072,158017194,10-10-2025 13:41,Freelance Work Payment,,22561.51
TXN30073,158017194,11-10-2025 12:45,Restaurant Bill,1504.06,
TXN30074,158017194,12-10-2025 13:05,Subscription Renewal,914.27,
TXN30075,158017194,13-10-2025 16:03,ATM Withdrawal,4882.79,
TXN30076,158017194,14-10-2025 08:25,Interest Credit,,56.72
TXN30077,158017194,15-10-2025 13:47,Fuel Expense,1509.33,
TXN30078,158017194,16-10-2025 15:29,Subscription Renewal,637.87,
TXN30079,158017194,17-10-2025 19:41,Salary Deposit,,80965.41
TXN30080,158017194,18-10-2025 08:37,Zomato Order,983.19,
TXN30081,158017194,19-10-2025 14:26,Salary Deposit,,49332.99
TXN30082,158017194,20-10-2025 15:53,Freelance Work Payment,,20444.23
TXN30083,158017194,21-10-2025 14:15,Subscription Renewal,349.83,
TXN30084,158017194,22-10-2025 19:28,Subscription Renewal,476.85,
TXN30085,158017194,23-10-2025 13:45,Subscription Renewal,520.62,
TXN30086,158017194,24-10-2025 11:44,Interest Credit,,104.37
TXN30087,158017194,25-10-2025 08:46,ATM Withdrawal,2617.11,
TXN30088,158017194,26-10-2025 12:18,ATM Withdrawal,8561.68,
TXN30089,158017194,27-10-2025 08:37,Transfer to Savings,9106.37,
TXN30090,158017194,28-10-2025 11:59,Transfer to Savings,10424.21,
TXN30091,158017194,29-10-2025 09:25,Swiggy Order,337.88,
TXN30092,158017194,30-10-2025 21:28,Refund - Product Return,,4804.96
TXN30093,158017194,31-10-2025 21:00,ATM Withdrawal,3838.63,
TXN30094,158017194,01-10-2025 12:01,Refund - Product Return,,687.89
TXN30095,158017194,02-10-2025 20:14,Investment Dividend,,8827.84
TXN30096,158017194,03-10-2025 17:20,Interest Credit,,70.45
TXN30097,158017194,04-10-2025 12:01,Grocery Store,2221.57,
TXN30098,158017194,05-10-2025 18:55,Salary Deposit,,67633.06
TXN30099,158017194,06-10-2025 15:49,Restaurant Bill,1313.93,
TXN300100,158017194,07-10-2025 15:20,Salary Deposit,,74642.17
