Txn Ref Number,Account Number,Date Time,Description,Withdrawals,Credit
TXN20001,673983640,01-10-2025 13:30,Online Shopping - Amazon,2192.13,
TXN20002,673983640,02-10-2025 16:48,Freelance Payment,,11345.35
TXN20003,673983640,03-10-2025 14:36,Investment Return,,1538.78
TXN20004,673983640,04-10-2025 08:35,Cash Deposit,,32672.93
TXN20005,673983640,05-10-2025 15:42,Online Shopping - Amazon,4068.49,
TXN20006,673983640,06-10-2025 09:55,UPI Payment,2917.43,
TXN20007,673983640,07-10-2025 12:58,Subscription Renewal,417.47,
TXN20008,673983640,08-10-2025 16:51,Grocery Purchase,770.75,
TXN20009,673983640,09-10-2025 10:17,Freelance Payment,,6792.73
TXN20010,673983640,10-10-2025 08:11,Grocery Purchase,798.24,
TXN20011,673983640,11-10-2025 13:32,Cash Deposit,,31399.21
TXN20012,673983640,12-10-2025 17:04,Online Shopping - Amazon,1177.76,
TXN20013,673983640,13-10-2025 09:57,Subscription Renewal,716.09,
TXN20014,673983640,14-10-2025 10:02,Online Shopping - Flipkart,3690.69,
TXN20015,673983640,15-10-2025 09:37,UPI Payment,665.12,
TXN20016,673983640,16-10-2025 10:46,Interest Credit,,68.02
TXN20017,673983640,17-10-2025 11:18,Utility Bill - Electricity,1395.73,
TXN20018,673983640,18-10-2025 16:10,Mutual Fund SIP,2704.00,
TXN20019,673983640,19-10-2025 18:00,Refund - Online Purchase,,1954.86
TXN20020,673983640,20-10-2025 20:17,Refund - Online Purchase,,549.28
TXN20021,673983640,21-10-2025 10:59,ATM Withdrawal,8253.49,
TXN20022,673983640,22-10-2025 15:43,Online Shopping - Amazon,950.20,
TXN20023,673983640,23-10-2025 09:09,Bank Transfer to Friend,9103.94,
TXN20024,673983640,24-10-2025 12:22,Utility Bill - Electricity,1142.31,
TXN20025,673983640,25-10-2025 20:33,Petrol Pump,2526.00,
TXN20026,673983640,26-10-2025 12:27,Online Shopping - Amazon,1840.15,
TXN20027,673983640,27-10-2025 17:52,Cash Deposit,,34529.81
TXN20028,673983640,28-10-2025 09:39,Online Shopping - Amazon,1556.54,
TXN20029,673983640,29-10-2025 13:49,Online Shopping - Amazon,1604.58,
TXN20030,673983640,30-10-2025 09:09,Cash Deposit,,6996.37
TXN20031,673983640,31-10-2025 18:07,Petrol Pump,1368.91,
TXN20032,673983640,01-10-2025 11:57,Online Shopping - Flipkart,633.41,
TXN20033,673983640,02-10-2025 15:21,Online Shopping - Amazon,3197.09,
TXN20034,673983640,03-10-2025 11:11,Online Shopping - Flipkart,2455.56,
TXN20035,673983640,04-10-2025 19:33,Cash Deposit,,15938.21
TXN20036,673983640,05-10-2025 08:57,Grocery Purchase,3834.51,
