Txn Ref Number,Account Number,Date Time,Description,Withdrawals,Credit
BNK0001,77098942,01-12-2020 01:01,POS Transaction,2000,
BNK0002,77098942,02-12-2020 01:01,Salary Payment,,10000
BNK0003,77098942,02-12-2020 02:01,Bank Interest Credit,,25
BNK0004,77098942,03-12-2020 02:01,GST Deduction,230,
BNK0005,77098942,04-12-2020 02:01,POS Transaction,1500,
BNK0006,77098942,05-12-2020 10:30,Fund Transfer,5000,
BNK0007,77098942,06-12-2020 14:15,ATM Withdrawal,3000,
BNK0008,77098942,07-12-2020 09:45,Cheque Payment Credit,,7500
BNK0009,77098942,08-12-2020 11:20,Bank Charges Deduction,50,
BNK0010,77098942,09-12-2020 16:35,POS Transaction,1200,
BNK0011,77098943,01-12-2020 08:15,POS Transaction,1500,
BNK0012,77098943,02-12-2020 09:30,Salary Payment,,8000
BNK0013,77098943,03-12-2020 10:45,Fund Transfer,2000,
BNK0014,77098943,04-12-2020 12:20,Bank Interest Credit,,15
BNK0015,77098943,05-12-2020 14:10,ATM Withdrawal,1000,
BNK0016,77098943,06-12-2020 15:30,POS Transaction,800,
BNK0017,77098943,07-12-2020 17:45,Cheque Payment Credit,,3000
BNK0018,77098943,08-12-2020 11:15,GST Deduction,150,
BNK0019,77098943,09-12-2020 13:25,POS Transaction,500,
BNK0020,77098943,10-12-2020 16:40,Bank Charges Deduction,25,
