Txn Ref Number,Account Number,Date Time,Description,Withdrawals,Credit
TXN1001,123456789,01-10-2025 09:15,Salary Deposit,,50000
TXN1002,123456789,01-10-2025 14:30,ATM Withdrawal,5000,
TXN1003,123456789,01-10-2025 18:45,Online Shopping - Ecom,2500,
TXN1004,123456789,02-10-2025 10:05,Utility Bill - Electricity,1200,
TXN1005,123456789,02-10-2025 19:20,Zomato Food Order,450,
TXN1006,987654321,03-10-2025 11:00,Initial Deposit,,75000
TXN1007,123456789,03-10-2025 12:30,Bank Transfer to Friend,3000,
TXN1008,987654321,03-10-2025 15:10,Grocery Purchase,1800,
TXN1009,123456789,04-10-2025 09:00,Swiggy Instamart,620,
TXN1010,987654321,04-10-2025 16:50,Online Shopping - Myntra,3200,
TXN1011,123456789,05-10-2025 10:15,Monthly Rent,15000,
TXN1012,987654321,05-10-2025 11:30,Mutual Fund SIP,5000,
TXN1013,123456789,05-10-2025 20:00,Dinner at Restaurant,2100,
TXN1014,987654321,06-10-2025 14:20,ATM Withdrawal,10000,
TXN1015,123456789,06-10-2025 17:00,Interest Credit,,150
TXN1016,987654321,07-10-2025 08:30,Petrol Pump,1000,
TXN1017,123456789,07-10-2025 13:45,Amazon Purchase,999,
TXN1018,987654321,07-10-2025 18:00,Freelance Payment Received,,20000
TXN1019,123456789,08-10-2025 10:00,Mobile Recharge,299,
TXN1020,987654321,08-10-2025 12:15,Share Market Investment,8000,
