Txn Ref Number,Account Number,Date Time,Description,Withdrawals,Credit
TXN4000001,259331851,29-05-2025 09:55,ATM Withdrawal,8816.53,
TXN4000002,259331851,03-02-2025 19:24,UPI Payment,1794.47,
TXN4000003,305218736,22-01-2025 14:52,Insurance Premium,12264.37,
TXN4000004,924583611,11-09-2025 15:37,Online Shopping - Amazon,1641.05,
TXN4000005,192139634,06-07-2025 00:48,Online Shopping - Flipkart,1669.17,
TXN4000006,578818953,23-01-2025 09:59,Mutual Fund SIP,11025.51,
TXN4000007,560058708,29-01-2025 14:00,Online Shopping - Amazon,3635.80,
TXN4000008,957129235,21-07-2025 17:04,Mutual Fund SIP,13762.78,
TXN4000009,957129235,19-05-2025 06:07,Freelance Payment,,18106.64
TXN4000010,635153307,06-07-2025 10:28,Interest Credit,,116.09
TXN4000011,573064860,04-05-2025 08:11,Freelance Payment,,15205.62
TXN4000012,573064860,28-04-2025 23:21,Swiggy Instamart,587.71,
TXN4000013,578818953,02-06-2025 10:17,Utility Bill - Electricity,1868.43,
TXN4000014,192139634,24-09-2025 23:10,Restaurant Bill,2550.19,
TXN4000015,573064860,12-07-2025 21:51,Insurance Premium,11647.73,
TXN4000016,578818953,10-05-2025 15:54,Grocery Purchase,2394.67,
TXN4000017,573064860,02-02-2025 12:39,Fuel Expense,2923.48,
TXN4000018,635153307,30-07-2025 00:35,Fuel Expense,1434.52,
TXN4000019,192139634,08-07-2025 00:26,Insurance Premium,13340.09,
TXN4000020,192139634,04-04-2025 13:32,Restaurant Bill,2275.29,
TXN4000021,259331851,28-09-2025 13:33,Grocery Purchase,3259.37,
TXN4000022,192139634,03-08-2025 07:23,Swiggy Instamart,1592.38,
TXN4000023,635153307,27-09-2025 02:36,Transfer to Friend,22872.52,
TXN4000024,578818953,22-08-2025 05:03,Freelance Payment,,7441.49
TXN4000025,635153307,22-04-2025 13:50,Transfer to Friend,18402.04,
TXN4000026,544914915,15-05-2025 03:38,Online Shopping - Flipkart,4939.02,
TXN4000027,560058708,13-10-2025 13:16,Subscription Renewal,1110.40,
TXN4000028,578818953,18-10-2025 08:25,Online Shopping - Amazon,2663.31,
TXN4000029,305218736,29-05-2025 22:17,Online Shopping - Flipkart,3934.22,
TXN4000030,573064860,27-02-2025 07:56,Insurance Premium,11052.39,
TXN4000031,578818953,27-04-2025 11:10,Subscription Renewal,949.79,
TXN4000032,635153307,15-07-2025 11:22,ATM Withdrawal,17989.62,
TXN4000033,192139634,24-04-2025 15:02,Salary Deposit,,48624.92
TXN4000034,957129235,21-03-2025 01:19,Online Shopping - Flipkart,4352.49,
TXN4000035,192139634,01-04-2025 16:42,Grocery Purchase,3110.17,
TXN4000036,957129235,11-04-2025 14:42,Cash Deposit,,22374.50
TXN4000037,635153307,10-02-2025 00:55,Zomato Order,314.33,
TXN4000038,560058708,19-01-2025 23:08,Online Shopping - Flipkart,1613.65,
TXN4000039,635153307,12-10-2025 13:40,Grocery Purchase,3015.90,
TXN4000040,544914915,22-05-2025 14:24,Investment Dividend,,5073.09
TXN4000041,573064860,16-06-2025 06:08,Restaurant Bill,1667.86,
TXN4000042,305218736,04-10-2025 14:59,Salary Deposit,,83290.66
TXN4000043,259331851,30-04-2025 22:22,ATM Withdrawal,9148.88,
TXN4000044,192139634,27-07-2025 19:47,Swiggy Instamart,1377.47,
TXN4000045,924583611,30-09-2025 00:54,UPI Payment,912.72,
TXN4000046,573064860,03-07-2025 15:44,Utility Bill - Electricity,835.04,
TXN4000047,544914915,05-01-2025 20:46,ATM Withdrawal,5765.22,
TXN4000048,560058708,07-08-2025 19:37,UPI Payment,952.94,
TXN4000049,635153307,31-07-2025 12:04,UPI Payment,2650.07,
TXN4000050,957129235,27-10-2025 03:59,Online Shopping - Flipkart,1162.49,
TXN4000051,924583611,29-01-2025 01:09,ATM Withdrawal,19733.63,
